arm,label,blocks,cells,slope,naive,left_digit,se,lo,hi,theta,theta_lo,theta_hi,sig
E0,Dollar boundary type,1736,57288,-1.11494573910732,0.0895821464529051,-1.53105670707367,1.08987375096694,-3.65442406707474,0.569593916389979,1.3732118554034,-0.504136942365452,2.76576580896332,""
E0b,Digit position,1267,41811,0.534474062313081,0.750648004568676,0.107625636015617,1.5091685630983,-2.76996577775594,2.89223190543446,,,,""
E1,Core sweep,1160,35960,-4.28300321133001,-2.50326496782092,-3.25020976219763,1.29458977194836,-5.64227010437829,-0.987913414314137,0.758862322026682,0.24186424946666,1.31870200589327,*
E1b,Scaled prices,13,403,1.7523964856199,-6.66670352672343,-3.57414723259948,0.996599958445001,-5.57662631302387,-1.84777755951626,,,,*
E1f,Newest models,48,1488,-22.4446714740469,-1.60108024691358,-15.5381944444444,11.933287948,-38.6984592013889,9.15852864583333,0.692288789453278,-0.406566873680255,1.86580002388828,""
E2,Prompt phrasing,872,27032,-3.14601601107525,-8.52289071763138,-8.90780913505822,1.02099229970039,-11.0380323302751,-6.93272162878865,2.83145702491632,2.06599607308736,3.88018062455747,*
E3,Non-price magnitudes,4006,124186,-3.4223898659154,3.26827438914389,-2.01101021279604,0.549049343973771,-3.04632058892578,-0.932801243790247,0.587604069549261,0.281597916015604,0.932842864172189,*
E4,Currency and locale,443,13733,-4.66742906331347,1.6297334241291,-2.7256440638646,1.24891546455102,-5.04117059753392,-0.152617128661786,0.583971181327313,0.0295266700548286,1.15186301572704,*
E6,Number formatting,340,10540,-5.0592465983509,-4.55073751215702,-0.25855930624782,1.64805568306351,-3.41971288053101,2.98935142650422,0.0511062865233927,-0.652909181420966,0.721469054550036,""
E7,Rendered price tags,3391,105121,-4.73048102669907,2.00900375093613,-1.96941665388562,0.880024618786165,-3.69460095232377,-0.391908059080317,0.416324818294405,0.0806967635550292,0.808485295351918,*
E8,Explicit reasoning,20,620,-4.4770599450731,4.02747158127448,-7.67595050788972,23.6084637471738,-56.932349407357,38.2728770202359,1.71450697602049,-13.7481286222698,5.8326271045819,""
E10,Stated convention,400,13200,-0.859374099354426,5.32553974909132,6.21746400321973,1.69709440141852,2.92360113915867,9.38437998071467,,,,*
