arm,blocks,linear,quadratic,cubic,r1only,allblocks,strict
E0,1736,-1.53105670707367,-1.57288580860305,-1.55848176266236,0.184913843719174,-0.93977243217261,-2.05697338757091
E0b,1267,0.107625636015617,0.0793661371043275,0.123553177259268,0.78847284977768,0.0719408533424488,0.160221617896846
E1,1160,-3.25020976219763,-3.26822309113589,-3.09562711204881,-2.45932703873994,-2.09524529249842,-3.7144554346436
E1b,13,-3.57414723259948,-3.62183898368048,-3.80467707094261,-6.84861860284837,-0.199008190904565,-6.7670526169083
E1f,48,-15.5381944444444,-15.6415074852714,-15.0342563928858,-0.78125,-6.21527777777778,-15.5381944444444
E2,872,-8.90780913505822,-8.88252816170967,-8.67092117799801,-8.50024845778274,-5.40375806393038,-10.837803716288
E3,4006,-2.01101021279604,-2.08073219967592,-1.8757908093192,3.57882054219918,-1.11656553193594,-2.68796509120307
E4,443,-2.7256440638646,-2.79235330426937,-2.51129214303252,1.88593209989344,-2.0107271926696,-3.29777826818715
E6,340,-0.25855930624782,-0.325786135255996,-0.102280772129722,-4.80321858309285,-0.185137728407327,-0.141281571929643
E7,3391,-1.96941665388562,-2.03576168972881,-1.96177203153448,2.24302848063153,-1.49105786047112,-2.33984211581491
E8,20,-7.67595050788972,-7.63340258568919,-8.00973880375269,4.71590817475472,-5.10593979768199,-10.4409979575763
E10,400,6.21746400321973,6.05754874553923,6.32728262158639,5.27307361649553,5.18247268292876,7.24477311520451
